Income Level,Country,Indicator,,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20
High income,Japan,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
High income,Japan,No Value,Inflation,,,,,,,,,
High income,Japan,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,"Korea, Republic of",2-5.,Inflation,,,,,,"0,03",,"0,02",
High income,"Korea, Republic of",2-5.,Min. Nombre d'enregistrements,,,,,,"1,00",,"1,00",
High income,"Korea, Republic of",< 2.,Inflation,"-0,01","-0,01","0,00","0,02","0,01",,"0,02",,
High income,"Korea, Republic of",< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00",,"1,00",,
High income,"Korea, Republic of",No Value,Inflation,,,,,,,,,
High income,"Korea, Republic of",No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Kuwait,2-5.,Inflation,,"0,02",,"0,03",,"0,03",,,
High income,Kuwait,2-5.,Min. Nombre d'enregistrements,,"1,00",,"1,00",,"1,00",,,
High income,Kuwait,< 2.,Inflation,"0,01",,"0,02",,"0,00",,"0,01","0,02",
High income,Kuwait,< 2.,Min. Nombre d'enregistrements,"1,00",,"1,00",,"1,00",,"1,00","1,00",
High income,Kuwait,No Value,Inflation,,,,,,,,,
High income,Kuwait,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Latvia,2-5.,Inflation,"0,03","0,03","0,02","0,03","0,04","0,04","0,03","0,02",
High income,Latvia,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
High income,Latvia,< 2.,Inflation,,,,,,,,,"0,01"
High income,Latvia,< 2.,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Lithuania,2-5.,Inflation,"0,04","0,04","0,04","0,04","0,04","0,04","0,03","0,03","0,03"
High income,Lithuania,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
High income,Luxembourg,2-5.,Inflation,,,,,,"0,03","0,04","0,04","0,03"
High income,Luxembourg,2-5.,Min. Nombre d'enregistrements,,,,,,"1,00","1,00","1,00","1,00"
High income,Luxembourg,< 2.,Inflation,"0,01","0,00","0,01","0,01","0,02",,,,
High income,Luxembourg,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00",,,,
High income,Macao,2-5.,Inflation,"0,05",,,,,,,"0,05","0,04"
High income,Macao,2-5.,Min. Nombre d'enregistrements,"1,00",,,,,,,"1,00","1,00"
High income,Macao,5-30.,Inflation,,"0,05","0,05","0,05","0,06","0,05","0,05",,
High income,Macao,5-30.,Min. Nombre d'enregistrements,,"1,00","1,00","1,00","1,00","1,00","1,00",,
High income,Malta,2-5.,Inflation,,,"0,02","0,02","0,02","0,02","0,03",,
High income,Malta,2-5.,Min. Nombre d'enregistrements,,,"1,00","1,00","1,00","1,00","1,00",,
High income,Malta,< 2.,Inflation,"0,01","0,01",,,,,,"0,01",
High income,Malta,< 2.,Min. Nombre d'enregistrements,"1,00","1,00",,,,,,"1,00",
High income,Malta,No Value,Inflation,,,,,,,,,
High income,Malta,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Mauritius,2-5.,Inflation,,,"0,03",,,,,"0,03","0,03"
High income,Mauritius,2-5.,Min. Nombre d'enregistrements,,,"1,00",,,,,"1,00","1,00"
High income,Mauritius,5-30.,Inflation,,,,"0,07","0,06","0,08","0,12",,
High income,Mauritius,5-30.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00","1,00",,
High income,Mauritius,< 2.,Inflation,"0,00","0,01",,,,,,,
High income,Mauritius,< 2.,Min. Nombre d'enregistrements,"1,00","1,00",,,,,,,
High income,Netherlands,2-5.,Inflation,"0,05","0,04","0,04",,,"0,03","0,03",,
High income,Netherlands,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,"1,00","1,00",,
High income,Netherlands,< 2.,Inflation,,,,"0,02","0,02",,,,
High income,Netherlands,< 2.,Min. Nombre d'enregistrements,,,,"1,00","1,00",,,,
High income,Netherlands,No Value,Inflation,,,,,,,,,
High income,Netherlands,No Value,Min. Nombre d'enregistrements,,,,,,,,"1,00","1,00"
High income,New Caledonia,2-5.,Inflation,,,,,"0,02","0,02","0,03","0,03","0,03"
High income,New Caledonia,2-5.,Min. Nombre d'enregistrements,,,,,"1,00","1,00","1,00","1,00","1,00"
High income,New Caledonia,< 2.,Inflation,"-0,02","-0,01","0,01","0,01",,,,,
High income,New Caledonia,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00",,,,,
High income,New Zealand,2-5.,Inflation,"0,03","0,02","0,02","0,04","0,03","0,03","0,04","0,04",
High income,New Zealand,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
High income,New Zealand,No Value,Inflation,,,,,,,,,
High income,New Zealand,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Norway,2-5.,Inflation,,,,"0,02","0,02","0,03","0,04","0,05","0,03"
High income,Norway,2-5.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00","1,00","1,00","1,00"
High income,Norway,< 2.,Inflation,"0,00","-0,01","0,00",,,,,,
High income,Norway,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,,,
High income,Oman,2-5.,Inflation,,"0,02",,,"0,02",,"0,02","0,03",
High income,Oman,2-5.,Min. Nombre d'enregistrements,,"1,00",,,"1,00",,"1,00","1,00",
High income,Oman,< 2.,Inflation,"0,01",,"0,01","0,02",,"0,01",,,
High income,Oman,< 2.,Min. Nombre d'enregistrements,"1,00",,"1,00","1,00",,"1,00",,,
High income,Oman,No Value,Inflation,,,,,,,,,
High income,Oman,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Panama,< 2.,Inflation,"0,01","0,00","0,00","-0,01","-0,01","-0,01",,,
High income,Panama,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
High income,Panama,No Value,Inflation,,,,,,,,,
High income,Panama,No Value,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
High income,Poland,5-30.,Inflation,"0,06","0,07","0,07","0,08","0,07","0,08","0,07","0,06","0,06"
High income,Poland,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
High income,Portugal,2-5.,Inflation,,,,,,,"0,04","0,02","0,03"
High income,Portugal,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
High income,Portugal,< 2.,Inflation,"0,01","0,00","0,00","0,01","0,01","0,01",,,
High income,Portugal,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
High income,Puerto Rico,< 2.,Inflation,"0,00","0,00","-0,01","-0,01","-0,01","-0,01",,,
High income,Puerto Rico,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
High income,Puerto Rico,No Value,Inflation,,,,,,,,,
High income,Puerto Rico,No Value,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
High income,Qatar,< 2.,Inflation,"-0,01","0,00","0,01","0,02","0,01","0,00","0,01","0,00","-0,01"
High income,Qatar,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
High income,Romania,2-5.,Inflation,"0,04",,,"0,05","0,04",,,,
High income,Romania,2-5.,Min. Nombre d'enregistrements,"1,00",,,"1,00","1,00",,,,
High income,Romania,5-30.,Inflation,,,"0,05",,,"0,05","0,06","0,05","0,05"
High income,Romania,5-30.,Min. Nombre d'enregistrements,,,"1,00",,,"1,00","1,00","1,00","1,00"
High income,Romania,No Value,Inflation,,,,,,,,,
High income,Romania,No Value,Min. Nombre d'enregistrements,,"1,00",,,,,,,
High income,Saudi Arabia,2-5.,Inflation,"0,03","0,02","0,03",,"0,03","0,04",,,
High income,Saudi Arabia,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,"1,00","1,00",,,
High income,Saudi Arabia,5-30.,Inflation,,,,,,,"0,06","0,07","0,07"
High income,Saudi Arabia,5-30.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
High income,Saudi Arabia,< 2.,Inflation,,,,"0,02",,,,,
High income,Saudi Arabia,< 2.,Min. Nombre d'enregistrements,,,,"1,00",,,,,
High income,Seychelles,2-5.,Inflation,,,,,,,,,"0,03"
High income,Seychelles,2-5.,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Seychelles,< 2.,Inflation,"0,01","0,02","0,01","0,00","0,00","0,00","0,01","0,01",
High income,Seychelles,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
High income,Singapore,2-5.,Inflation,,,,,,,"0,03","0,02",
High income,Singapore,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00",
High income,Singapore,< 2.,Inflation,"0,02","0,02","0,02","0,02","0,02","0,02",,,
High income,Singapore,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
High income,Singapore,No Value,Inflation,,,,,,,,,
High income,Singapore,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,Slovakia,2-5.,Inflation,"0,05",,,"0,04","0,05","0,04","0,04","0,05","0,03"
High income,Slovakia,2-5.,Min. Nombre d'enregistrements,"1,00",,,"1,00","1,00","1,00","1,00","1,00","1,00"
High income,Slovakia,5-30.,Inflation,,"0,05","0,05",,,,,,
High income,Slovakia,5-30.,Min. Nombre d'enregistrements,,"1,00","1,00",,,,,,
High income,Slovenia,2-5.,Inflation,,"0,02","0,03","0,03","0,04","0,05",,,"0,03"
High income,Slovenia,2-5.,Min. Nombre d'enregistrements,,"1,00","1,00","1,00","1,00","1,00",,,"1,00"
High income,Slovenia,5-30.,Inflation,,,,,,,"0,05","0,05",
High income,Slovenia,5-30.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00",
High income,Slovenia,< 2.,Inflation,"0,02",,,,,,,,
High income,Slovenia,< 2.,Min. Nombre d'enregistrements,"1,00",,,,,,,,
High income,Spain,2-5.,Inflation,,,,"0,02",,"0,03","0,04","0,04","0,03"
High income,Spain,2-5.,Min. Nombre d'enregistrements,,,,"1,00",,"1,00","1,00","1,00","1,00"
High income,Spain,< 2.,Inflation,"0,01","0,02","0,02",,"0,02",,,,
High income,Spain,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,"1,00",,,,
High income,Sweden,2-5.,Inflation,"0,03","0,03","0,03","0,02","0,03","0,03","0,04","0,04","0,03"
High income,Sweden,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
High income,Switzerland,< 2.,Inflation,"-0,01","-0,01","-0,01","-0,01","-0,01","0,00","0,00","0,00","0,01"
High income,Switzerland,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
High income,Trinidad and Tobago,< 2.,Inflation,"0,01","-0,01","-0,01","0,00","0,01","0,01",,,
High income,Trinidad and Tobago,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
High income,Trinidad and Tobago,No Value,Inflation,,,,,,,,,
High income,Trinidad and Tobago,No Value,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
High income,United Arab Emirates,2-5.,Inflation,,,,,,"0,04",,,
High income,United Arab Emirates,2-5.,Min. Nombre d'enregistrements,,,,,,"1,00",,,
High income,United Arab Emirates,5-30.,Inflation,,,,,,,"0,05","0,06",
High income,United Arab Emirates,5-30.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00",
High income,United Arab Emirates,< 2.,Inflation,"-0,02","-0,01","-0,01","-0,02","0,01",,,,
High income,United Arab Emirates,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00",,,,
High income,United Arab Emirates,No Value,Inflation,,,,,,,,,
High income,United Arab Emirates,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
High income,United Kingdom,2-5.,Inflation,,"0,02",,,,,,,
High income,United Kingdom,2-5.,Min. Nombre d'enregistrements,,"1,00",,,,,,,
High income,United Kingdom,< 2.,Inflation,"0,01",,"0,02","0,01","0,01","0,01","0,01","0,02","0,01"
High income,United Kingdom,< 2.,Min. Nombre d'enregistrements,"1,00",,"1,00","1,00","1,00","1,00","1,00","1,00","1,00"
High income,United States,2-5.,Inflation,"0,02","0,02",,,,,"0,04","0,05","0,05"
High income,United States,2-5.,Min. Nombre d'enregistrements,"1,00","1,00",,,,,"1,00","1,00","1,00"
High income,United States,< 2.,Inflation,,,"0,02","0,01","0,01","0,01",,,
High income,United States,< 2.,Min. Nombre d'enregistrements,,,"1,00","1,00","1,00","1,00",,,
High income,Uruguay,5-30.,Inflation,"0,11","0,13","0,14","0,13","0,11","0,13","0,19","0,19","0,17"
High income,Uruguay,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
