"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm","H_Date","H_GovernmentResponseIndex","H_GovernmentResponseIndexForDisplay","H_EconomicSupportIndex","H_EconomicSupportIndexForDisplay","H_ContainmentHealthIndex","H_ContainmentHealthIndexForDisplay","H_E1_Income.support","H_E1_Flag","H_GovernmentResponseIndexForDisplay_norm","H_EconomicSupportIndexForDisplay_norm","H_INFORM_rating.Value","H_INFORM_rating.Rating","H_covid_case_rate.Value","H_covid_case_rate.Rating","H_legal_stringency.Value","H_legal_stringency.Rating","H_international_travel.Value","H_international_travel.Rating","H_internal_movement.Value","H_internal_movement.Rating","H_stay_home.Value","H_stay_home.Rating","H_income_support.Value","H_income_support.Rating","H_debt_relief.Value","H_debt_relief.Rating","H_gdp_change.Value","H_gdp_change.Rating","H_unemployment.Value","H_unemployment.Rating","H_inflation.Value","H_inflation.Rating","H_school_close.Value","H_school_close.Rating","H_ipc_3_plus.Value","H_ipc_3_plus.Rating","H_growth_events.Value","H_growth_events.Rating","H_public_info.Value","H_public_info.Rating","H_testing_policy.Value","H_testing_policy.Rating","H_contact_trace.Value","H_contact_trace.Rating","H_growth_conflict.Value","H_growth_conflict.Rating","H_seasonal_flood.Value","H_seasonal_flood.Rating","H_seasonal_cyclone.Value","H_seasonal_cyclone.Rating","H_seasonal_exposure.Value","H_seasonal_exposure.Rating","H_ASAP_hotspot.Value","H_ASAP_hotspot.Rating","H_INFORM_severity.Value","H_INFORM_severity.Rating","H_INFORM_rating.Value_norm","H_wmo_don_alert","H_health_acaps","F_Proteus_Score","F_Proteus_Score_norm","country","F_admin_code","F_year_month.x","F_year","F_month","F_pop_source","F_countrypop","F_totalipc3plusabsfor","F_totalipc3pluspercfor","F_totalipc4plusabsfor","F_totalipc4pluspercfor","F_totalipc3plusabsnow","F_totalipc3pluspercnow","F_totalipc4plusabsnow","F_totalipc4pluspercnow","F_pctchangeipc3for","F_pctchangeipc4for","F_pctchangeipc3now","F_pctchangeipc4now","F_diffactfor","F_fshighrisk","F_year_month.y","F_max_ipc","F_fews_crm_norm","F_Apr","F_May","F_June","F_Jul","F_Aug","F_Sep","F_Oct","F_Nov","F_fpv","F_fpv_rating","F_fao_wfp_warning","Fr_Countryname.x","Fr_Countryname.y","Fr_FCV_status","Fr_FCS_Normalised","Fr_month","Fr_pt_suc","Fr_pt_attempt","Fr_delayed","Fr_irreg_lead_ant","Fr_anticipation","Fr_delayed_adj","Fr_anticipation_adj","Fr_pol_trigger","Fr_REIGN_Normalised","Fr_Country.of.origin..ISO.","Fr_refugees","Fr_z_refugees","Fr_refugees_fragile","Fr_idps","Fr_z_idps","Fr_idps_fragile","Fr_z_refugees_norm","Fr_Displaced_UNHCR_Normalised","Fr_month_yr","Fr_fatal_month","Fr_fatal_month_log","Fr_fatal_3_month","Fr_fatal_3_month_log","Fr_fatal_z","Fr_sd","Fr_mean","Fr_BRD_Normalised","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm","NH_GDAC_Date","NH_GDAC_Hazard_Status","NH_GDAC_Hazard_Severity","NH_GDAC_Hazard_Type","NH_GDAC_Hazard_Score_Norm","NH_GDAC_Hazard_Score","NH_Hazard_Score","NH_Hazard_Score_norm","NH_seasonal_risk_norm","NH_locust_norm","NH_natural_acaps","S_INFORM_vul","S_INFORM_vul_norm","S_gdp_change.Value","S_gdp_change.Rating","S_unemployment.Value","S_unemployment.Rating","S_income_support.Value","S_income_support.Rating","S_gdp_change.Rating_norm","S_unemployment.Rating_norm","S_income_support.Rating_crm_norm","S_pov_comb_norm","S_pov_prop_22_21_norm","S_pov_prop_21_20_norm","S_pov_prop_20_19_norm","S_pov_prop_22_21","S_pov_prop_21_20","S_pov_prop_20_19","S_Subject.Descriptor","S_Subject.Notes","S_Units","S_Scale","S_X2017","S_X2018","S_X2019","S_X2020","S_X2021","S_X2022","S_X2023","S_X2024","S_X2025","S_Change.in.unemployement.rate.2019.to.2020","S_change_unemp_21","S_change_unemp_20","S_change_unemp_21_norm","S_change_unemp_20_norm","S_change_unemp_norm","S_Household.risks","S_Household.risks_raw","S_phone_average_index","S_phone_average_index_norm","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"151","New Zealand","NZL",54,3.2,0.116100155614712,0,0.01,0.01,0.000666666666667481,0.000666666666667481,0.8,0,0.032,0,20210614,37.92,37.92,75,75,32.62,32.62,1,1,6.47384615384615,2.5,2.1,NA,"0.5","Low","-999","High","Total border closure","Low","Require closing (or prohibit most people from using it)","Low","No measures","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","4.0 %","Low","4.6 %","Low","1.7 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,3.8,"Medium",0.1,"Low",0.9,"Low","NO DATA",NA,"NO CRISIS","Low",0.25,0,0,0.235,1.84210526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","New Zealand",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"NZL",34,0.83805732128727,"Not Fragile",0,0,"Not Fragile",8.3805732128727,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,20.6666666666667,23.6969696969697,-1.66666666666667,-4.69696969696969,0,2.46919014084508,0.2898104848634,"2021-05-31","past","green","flood",0,"past - green",4.5,5.83333333333333,0,0,0,0.4,0.571428571428571,"4.0 %","Low","4.6 %","Low","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,0,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,4.725,4.275,4.075,6.027,6.978,5.402,5.253,5.121,5.019,"1.952",0.951,1.952,9.51,6.50666666666667,9.51,NA,NA,NA,NA,0,0.4
"152","North Macedonia","MKD",39.1,6.18,NA,NA,-65.8680117696511,-48.023396034487,0,0,8.16,1.097,0.3264,2.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,"27.6","Medium","80","Medium","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"3.8 %","Low","16.3 %","Medium","1.2 %","Low","Partially open","Medium","NO DATA",NA,"-91.67%","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,0,"Low",0,"Low",0.8,"Low","NO DATA",NA,"NO CRISIS","Low",4.25,0,0,0.309,3.61244019138756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.06,NA,NA,NA,NA,NA,0.06,5,NA,"North Macedonia","North Macedonia",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"MKD",1784,1.05834746854342,"Fragile",0,0,"Not Fragile",10,0,"Apr 2021",0,0,0,0,-0.288892102032128,0.189420705684762,0.0547221458336799,0,27.3333333333333,36.6666666666667,35.5757575757576,-9.33333333333333,-8.24242424242425,1.63934426229508,0,2.70182131429978,NA,NA,NA,NA,NA,NA,3.8,4.66666666666667,0,0,0,2.3,3.28571428571428,"3.8 %","Low","16.3 %","Medium","NO DATA",NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,22.375,20.725,17.25,20.248,17.83,16.686,16.009,15.733,15.352,"2.998",-2.418,2.998,0,9.99333333333334,9.99333333333334,NA,NA,NA,NA,0,0.3
"153","Philippines","PHL",47.6,4.48,0.480618410123693,4.29879873290103,15.1580509522632,14.3410486468199,1.01053673015088,0.956069909787992,60.179,1.16,2.40716,2.32,20210614,NA,64.43,NA,0,NA,73.63,NA,NA,2.39538461538461,10,4.7,NA,"72.7","Medium","80","Medium","Total border closure","Low","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","No income support","High","0","High","6.9 %","Low","7.4 %","Medium","2.6 %","Low","Closed due to COVID-19","High","NO DATA",NA,"75.00%","High","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","14.61%","Medium",4.2,"Medium",2.2,"Medium",3.9,"Medium","No hotspot","Low","Low","Medium",6.75,0,0,0.459,7.20095693779904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippines","Philippines",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"PHL",552,0.239865790037115,"Not Fragile",178897,0.378315416348216,"Not Fragile",2.39865790037115,3.78315416348216,"Apr 2021",99,4.60517018598809,352,5.8664680569333,-0.834311468150012,0.155334555364868,5.99606545787419,0.828442659249939,42.3333333333333,48.6666666666667,48.4242424242424,-6.33333333333333,-6.09090909090909,4.59016393442623,0.444542253521123,5.31073098695545,"2021-06-14","active","orange","earthquake",10,"active - orange",8.4,10,0,0,0,3.8,5.42857142857143,"6.9 %","Low","7.4 %","Medium","No income support","High",0,7,7,5.5416204421097,5.5416204421097,3.0028717870881,2.3911997371821,-0.39167591157806,-0.39942564258238,0.71735992115463,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,5.725,5.325,5.075,10.35,7.4,6.694,6.154,5.615,5.075,"5.275",-2.95,5.275,0,10,10,7,0.5,6.14576187133789,8.77965981619699,0,0.3
"154","Portugal","PRT",60.3,1.94,0.425503545896558,3.47557181428948,48.0769230769231,34.0377007823518,3.2051282051282,2.26918005215679,67.263,0.182,2.69052,0.364000000000001,20210614,NA,65.42,NA,75,NA,64.05,NA,NA,2.24307692307692,2.5,2.8,NA,"65.2","Medium","77","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-7.6 %","High","6.8 %","Medium","0.9 %","Low","Fully open","Low","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,0,"Low",0,"Low",1.1,"Low","NO DATA",NA,"NO CRISIS","Low",2,0,0,0.158,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.03,3,NA,"Portugal","Portugal",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"PRT",25,0.340637278162948,"Not Fragile",0,0,"Not Fragile",3.40637278162948,0,"Apr 2021",0,0,0,0,-0.83452296039628,0.355967530529982,0.297063077382834,0,37.3333333333333,37.3333333333333,36.3939393939394,0,0.939393939393938,3.60655737704918,10,2.86795471326606,NA,NA,NA,NA,NA,NA,3.4,4,0,0,0,0.8,1.14285714285714,"-7.6 %","High","6.8 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",10,7,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,8.867,6.994,6.463,8.125,7.677,6.946,6.482,6.202,6.015,"1.662",-0.448,1.662,0,5.54,5.54,NA,NA,NA,NA,0,0.3
"155","Qatar","QAT",41.2,5.76,0.686073366644955,7.3675906666603,-5.76923076923077,-38.4151952261782,0,0,54.692,0.397,2.18768,0.794,20210614,64.38,64.38,62.5,62.5,64.64,64.64,2,0,2.40307692307692,3.75,3.3,NA,"148.4","High","80","Medium","Quarantine arrivals from high-risk regions","Medium","No measures","High","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","1","Medium","-2.6 %","High","NO DATA",NA,"-2.7 %","Medium","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,0,"Low",0,"Low",0,"Low","NO DATA",NA,"NO CRISIS","Low",3.25,0,0,0.119,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,-0.01,-0.01,0,-0.01,0.01,-0.01,-0.01,1,NA,"Qatar","Qatar",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"QAT",36,1.47621779149348,"Fragile",0,0,"Not Fragile",10,0,"Apr 2021",0,0,0,0,NA,0,0,0,29.3333333333333,33,35.6666666666667,-3.66666666666667,-6.33333333333333,2.0327868852459,0.0924295774647899,2.72028058085159,NA,NA,NA,NA,NA,NA,1.5,0.833333333333334,0,0,0,1.2,1.71428571428572,"-2.6 %","High","NO DATA",NA,"Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",10,NA,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,10,1,NA,NA,0,0.3
"156","Saint Kitts and Nevis","KNA",26.2,8.76,NA,NA,NA,NA,NA,NA,193.37,0,7.7348,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,"43.2","Medium","-999","High","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-18.7 %","High","NO DATA",NA,"-0.6 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,0.1,"Low",0.1,"Low",0,"Low","NO DATA",NA,"NO CRISIS","Low",3.25,0,0,0.326,4.01913875598086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0,NA,NA,NA,NA,NA,0,1,NA,"Saint Kitts and Nevis","Saint Kitts and Nevis",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"KNA",57,0.824630936376858,"Not Fragile",0,0,"Not Fragile",8.24630936376858,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3,0,0,0,1.8,2.57142857142857,"-18.7 %","High","NO DATA",NA,"NO DATA",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"157","Saint Vincent and the Grenadines","VCT",33,7.4,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,103.009,0,4.12036,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,"79.3","Medium","80","Medium","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-4.2 %","High","NO DATA",NA,"1.4 %","Low","Closed due to COVID-19","High","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,0.1,"Low",0.1,"Low",0.5,"Low","NO DATA",NA,"Low","Medium",5.25,0,0,0.345,4.47368421052632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0.01,NA,NA,NA,NA,NA,0.01,1,NA,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"VCT",979,-1.35199277292181,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-04-23","past","orange","volcano",0,"past - orange",2.6,2.66666666666667,0,0,0,3.3,4.71428571428571,"-4.2 %","High","NO DATA",NA,"NO DATA",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4
"158","Singapore","SGP",58.7,2.26,0.147996989491015,0,-46.1538461538462,-44.6772395439997,0,0,1.953,0.024,0.0781200000000002,0.048,20210614,76.56,76.56,100,100,73.21,73.21,2,1,0.529230769230768,0,2.5,NA,"7.6","Low","-999","High","Ban on high-risk regions","Medium","No measures","High","Recommend not leaving house","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","2","Low","-5.4 %","High","3.1 %","Low","-0.2 %","Medium","Academic break","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,0.1,"Low",0,"Low",0,"Low","NO DATA",NA,"NO CRISIS","Low",1.25,0,0,0.101,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.04,3,NA,"Singapore","Singapore",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"SGP",39,-1.06998122090255,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.66666666666667,6.66666666666667,9.54545454545454,0,-2.87878787878788,0,5.11003521126761,0,NA,NA,NA,NA,NA,NA,0.9,0,0,0,0,0.2,0.285714285714286,"-5.4 %","High","3.1 %","Low","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",10,0,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,2.175,2.1,2.25,3,2.6,2.3,2.1,2.1,2.1,"0.75",-0.4,0.75,0,2.5,2.5,NA,NA,NA,NA,0,0.3
"159","Slovenia","SVN",67.2,0.559999999999999,0.929163375832703,10,-34.9358974358974,-31.8215820776758,0,0,73.389,1.099,2.93556,2.198,20210614,NA,51.15,NA,75,NA,47.74,NA,NA,4.43846153846154,2.5,2.7,NA,"205.1","High","80","Medium","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","3.7 %","Low","5.1 %","Medium","-0.1 %","Medium","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,0,"Low",0,"Low",0,"Low","NO DATA",NA,"NO CRISIS","Low",1.75,0,0,0.167,0.21531100478469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.05,0.03,0.03,0.04,0.04,0.03,0.02,0.03,3,NA,"Slovenia","Slovenia",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"SVN",19,-0.429844406940441,"Not Fragile",0,0,"Not Fragile",0,0,"Apr 2021",0,0,0,0,NA,0,0,0,22.3333333333333,22.3333333333333,31.4242424242424,0,-9.09090909090909,0.655737704918032,0,1.85884814176717,NA,NA,NA,NA,NA,NA,3.4,4,0,0,0,0.2,0.285714285714286,"3.7 %","Low","5.1 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,6.575,5.125,4.6,8,6,5,4.6,4.6,4.6,"3.4",-2,3.4,0,10,10,NA,NA,NA,NA,0,0.3
"160","Sweden","SWE",72.1,0,0.793490406149168,8.97203258405311,-24.7445387572776,-48.5260768727182,0,0,76.3,0.721,3.052,1.442,20210614,54.22,54.22,37.5,37.5,56.61,56.61,2,0,3.96615384615385,6.25,2.2,NA,"227.4","High","80","Medium","Ban on high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Recommend not leaving house","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","0","High","3.1 %","Low","8.7 %","Medium","1.5 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,0,"Low",0,"Low",0.9,"Low","NO DATA",NA,"NO CRISIS","Low",0.5,0,0,0.223,1.55502392344497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.03,3,NA,"Sweden","Sweden",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"SWE",13,-0.997965409896352,"Not Fragile",0,0,"Not Fragile",0,0,"Apr 2021",0,0,0,0,-0.503236279740196,0.295152684079333,0.148531538691417,0,18.6666666666667,17.3333333333333,20.3030303030303,1.33333333333334,-1.63636363636363,0,6.91461267605635,0,NA,NA,NA,NA,NA,NA,1.1,0.166666666666666,0,0,0,0.3,0.428571428571429,"3.1 %","Low","8.7 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",0,7,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,6.683,6.325,6.767,8.669,9.275,8.5,7.7,7.245,7.2,"1.902",0.606,1.902,6.06,6.34,6.34,NA,NA,NA,NA,0,0.3
